round,date,home,away,home_goals,away_goals,result
1,05/04/26,Al Masry,Zamalek,1,4,A
1,07/04/26,Ceramica Cleopatra,Al Ahly,1,1,D
1,07/04/26,Smouha,ENPPI,0,2,A
2,22/04/26,Al Masry,ENPPI,2,2,D
2,22/04/26,Smouha,Ceramica Cleopatra,0,2,A
2,23/04/26,Zamalek,Pyramids,1,0,H
3,27/04/26,Pyramids,Al Ahly,3,0,H
3,27/04/26,Smouha,Al Masry,0,1,A
3,27/04/26,Zamalek,ENPPI,0,0,D
4,01/05/26,Ceramica Cleopatra,Al Masry,0,1,A
4,01/05/26,Pyramids,ENPPI,3,2,H
4,01/05/26,Zamalek,Al Ahly,0,3,A
5,05/05/26,Al Ahly,ENPPI,3,0,H
5,05/05/26,Ceramica Cleopatra,Pyramids,1,1,D
5,05/05/26,Smouha,Zamalek,0,1,A
6,20/05/26,Al Masry,Al Ahly,,,TBD
6,20/05/26,Zamalek,Ceramica Cleopatra,,,TBD
6,20/05/26,Pyramids,Smouha,,,TBD
